Date,Open,High,Low,Close,Adj Close,Volume
2018-12-02,0.020189,0.020540,0.019013,0.019042,0.019042,2865624
2018-12-03,0.019135,0.019220,0.016894,0.017399,0.017399,4003023
2018-12-04,0.017290,0.018600,0.016892,0.017573,0.017573,3013074
2018-12-05,0.017592,0.017667,0.014975,0.015027,0.015027,3411345
2018-12-06,0.015208,0.016077,0.013483,0.013483,0.013483,3639515
2018-12-07,0.013477,0.013937,0.012044,0.013443,0.013443,3614448
2018-12-08,0.013425,0.014071,0.012843,0.013642,0.013642,2155917
2018-12-09,0.013615,0.015468,0.013513,0.014914,0.014914,4236731
2018-12-10,0.014974,0.015232,0.013294,0.013572,0.013572,2145799
2018-12-11,0.013568,0.014235,0.012902,0.013088,0.013088,1548120
2018-12-12,0.013199,0.014459,0.012927,0.014077,0.014077,2278234
2018-12-13,0.014032,0.014085,0.012621,0.012924,0.012924,1682893
2018-12-14,0.012920,0.013080,0.011928,0.012238,0.012238,1152666
2018-12-15,0.012237,0.012430,0.011658,0.012177,0.012177,972864
2018-12-16,0.012146,0.012464,0.012046,0.012112,0.012112,837513
2018-12-17,0.012095,0.014269,0.012013,0.013721,0.013721,2503364
2018-12-18,0.013815,0.014595,0.013112,0.014522,0.014522,2247545
2018-12-19,0.014591,0.016074,0.014302,0.014382,0.014382,4112163
2018-12-20,0.014301,0.015711,0.014172,0.015453,0.015453,2904090
2018-12-21,0.015475,0.016419,0.014725,0.015162,0.015162,4109211
2018-12-22,0.015116,0.016303,0.015067,0.016213,0.016213,2866430
2018-12-23,0.016149,0.017169,0.015895,0.016174,0.016174,3274443
2018-12-24,0.016252,0.017754,0.016001,0.016227,0.016227,2979396
2018-12-25,0.016237,0.016260,0.014158,0.014528,0.014528,1672903
2018-12-26,0.014574,0.015263,0.014169,0.014719,0.014719,1494844
2018-12-27,0.014809,0.014809,0.013115,0.013115,0.013115,1367200
2018-12-28,0.012750,0.014531,0.012750,0.014313,0.014313,3300193
2018-12-29,0.014314,0.015042,0.013739,0.013842,0.013842,1898798
2018-12-30,0.013761,0.014007,0.013104,0.013597,0.013597,1488052
2018-12-31,0.013613,0.013673,0.012728,0.012825,0.012825,1081308
2019-01-01,0.012884,0.013566,0.012653,0.013566,0.013566,951795
2019-01-02,0.013540,0.014167,0.013274,0.014041,0.014041,2050072
2019-01-03,0.014071,0.014083,0.013206,0.013219,0.013219,1177551
2019-01-04,0.013289,0.013521,0.012933,0.013268,0.013268,968357
