,date,height_RVN,flow_RVN,stock_RVN,open_RVN,high_RVN,low_RVN,close_RVN,adj_close_RVN,volume_RVN,open_BTC,high_BTC,low_BTC,close_BTC,adj_close_BTC,volume_BTC
157,2018-06-09,7140000,7140000,1226975000,0.027951,0.028868,0.027186000000000002,0.027186000000000002,0.027186000000000002,138917.0,7632.52002,7683.580078,7531.97998,7531.97998,7531.97998,3845220096.0
158,2018-06-10,7050000,7050000,1234025000,0.027144,0.027462,0.023938,0.024202,0.024202,125817.0,7499.549805,7499.549805,6709.069824,6786.02002,6786.02002,5804839936.0
159,2018-06-11,7175000,7175000,1241200000,0.024369,0.025493000000000002,0.023863,0.024359,0.024359,226409.0,6799.290039,6910.180176000001,6706.629883,6906.919922,6906.919922,4745269760.0
160,2018-06-12,7565000,7565000,1248765000,0.024339,0.024819,0.022816,0.023065000000000002,0.023065000000000002,164286.0,6905.819823999999,6907.959961,6542.080078,6582.359863000001,6582.359863000001,4654380032.0
161,2018-06-13,6685000,6685000,1255450000,0.023006,0.023703000000000002,0.019771,0.020475,0.020475,308041.0,6596.879883,6631.660156,6285.629883,6349.899902,6349.899902,5052349952.0
162,2018-06-14,7160000,7160000,1262610000,0.020501,0.024753999999999998,0.020501,0.024669999999999997,0.024669999999999997,320160.0,6342.75,6707.140136999999,6334.459961,6675.350098,6675.350098,5138710016.0
163,2018-06-15,7370000,7370000,1269980000,0.024637,0.025697,0.023384000000000002,0.024390000000000002,0.024390000000000002,361065.0,6674.080078,6681.080078,6433.870117,6456.580078,6456.580078,3955389952.0
164,2018-06-16,7715000,7715000,1277695000,0.024318,0.024465,0.022886,0.023759,0.023759,259808.0,6455.450195,6592.490234000001,6402.290039,6550.160156,6550.160156,3194170112.0
165,2018-06-17,7305000,7305000,1285000000,0.023787,0.023893,0.022175999999999998,0.022266,0.022266,197094.0,6545.529785,6589.109863000001,6499.27002,6499.27002,6499.27002,3104019968.0
166,2018-06-18,6925000,6925000,1291925000,0.022194,0.022241,0.020885,0.021587000000000002,0.021587000000000002,173708.0,6510.069824,6781.140137,6446.680176,6734.819823999999,6734.819823999999,4039200000.0
167,2018-06-19,6575000,6575000,1298500000,0.021628,0.022335,0.020968,0.021991999999999998,0.021991999999999998,214280.0,6742.390137,6822.5,6709.919922,6769.939941,6769.939941,4057029888.0
168,2018-06-20,7310000,7310000,1305810000,0.021986000000000002,0.023476,0.021274,0.022838999999999998,0.022838999999999998,329521.0,6770.759765999999,6821.560059,6611.879883,6776.549805,6776.549805,3888640000.0
169,2018-06-21,7785000,7785000,1313595000,0.02289,0.025004,0.022698,0.023205,0.023205,417437.0,6780.089844,6810.939941,6715.169922,6729.740234000001,6729.740234000001,3529129984.0
